Feature,Gain,Importance
appearance,0.000232007788749896,0.000232007788749896
warn,0.000231233414868736,0.000231233414868736
2weeks,0.000231174821596863,0.000231174821596863
tho,0.000230821001141381,0.000230821001141381
metal,0.000230125805585277,0.000230125805585277
sweat,0.000228973869264413,0.000228973869264413
main,0.000228713821223475,0.000228713821223475
comparable,0.00022824075763755,0.00022824075763755
resend,0.000228096219359516,0.000228096219359516
correct,0.000227004890576762,0.000227004890576762
quickly,0.000224373489733756,0.000224373489733756
rope,0.000223890249275974,0.000223890249275974
bag,0.000222571572773451,0.000222571572773451
condtio,0.000222539404665829,0.000222539404665829
pick,0.000222198466046246,0.000222198466046246
advertise,0.000221378740250408,0.000221378740250408
promise,0.000220997026781127,0.000220997026781127
casual,0.000220807684178061,0.000220807684178061
rub,0.000220068001226886,0.000220068001226886
sleep,0.000219499445561663,0.000219499445561663
compatible,0.000218588150174227,0.000218588150174227
sporty,0.000217973347705899,0.000217973347705899
horizontal,0.000217765749343234,0.000217765749343234
talk,0.000217643647129309,0.000217643647129309
pocket,0.000216809918855017,0.000216809918855017
cute,0.000216684293804787,0.000216684293804787
gear,0.000216584842103961,0.000216584842103961
existent,0.000213365481047067,0.000213365481047067
regular,0.000212949582138829,0.000212949582138829
performance,0.000212840726817955,0.000212840726817955
unhappy,0.000212405732214187,0.000212405732214187
surround,0.000211709491978149,0.000211709491978149
isolate,0.000210956925233619,0.000210956925233619
candy,0.000210505679202378,0.000210505679202378
soft,0.000208961041597306,0.000208961041597306
budget,0.000208807909931372,0.000208807909931372
previous,0.000207641546815074,0.000207641546815074
win,0.000206789993892463,0.000206789993892463
usual,0.000206722800376738,0.000206722800376738
awkwardly,0.000206575779698935,0.000206575779698935
pos,0.000206406075567935,0.000206406075567935
2ft,0.000205951242916436,0.000205951242916436
water,0.000205539289098028,0.000205539289098028
reduction,0.000204962525018106,0.000204962525018106
terrific,0.000204772345290976,0.000204772345290976
pull,0.000204477116324337,0.000204477116324337
upgrade,0.000203766107466352,0.000203766107466352
student,0.000203209402077923,0.000203209402077923
squeeze,0.000201678308881547,0.000201678308881547
catch,0.000201568179986388,0.000201568179986388
clean,0.000200479809766915,0.000200479809766915
wide,0.000200049827536322,0.000200049827536322
impressive,0.000199378927256818,0.000199378927256818
inch,0.00019868720067547,0.00019868720067547
thin,0.000198680277921712,0.000198680277921712
life,0.000198554075438165,0.000198554075438165
mess,0.00019842281044993,0.00019842281044993
house,0.000196134595449727,0.000196134595449727
consistent,0.000195953956097533,0.000195953956097533
fly,0.000195165771240328,0.000195165771240328
fuze,0.000194697013070024,0.000194697013070024
darn,0.000194111457978594,0.000194111457978594
construction,0.00019311667904835,0.00019311667904835
glue,0.000192737282086751,0.000192737282086751
mdr,0.00019243423196847,0.00019243423196847
begin,0.00019230208518145,0.00019230208518145
antenna,0.000192256180323843,0.000192256180323843
structure,0.000192101786555117,0.000192101786555117
substandard,0.000191936573405729,0.000191936573405729
subway,0.000191781298869919,0.000191781298869919
thrill,0.000191682606058225,0.000191682606058225
schoolers,0.000191504866914376,0.000191504866914376
pain,0.00019136761425255,0.00019136761425255
player,0.000190300862809089,0.000190300862809089
clarity,0.000190191276549499,0.000190191276549499
irritate,0.00019017650835882,0.00019017650835882
soup,0.00018942765967219,0.00018942765967219
e1,0.000188855174820652,0.000188855174820652
stretch,0.000188302566353942,0.000188302566353942
mute,0.000187256356803924,0.000187256356803924
yard,0.000187118009662617,0.000187118009662617
father,0.000187090464052613,0.000187090464052613
office,0.000186404986751615,0.000186404986751615
difficulty,0.000186329064026997,0.000186329064026997
free,0.000185519391304163,0.000185519391304163
walmart,0.000185219402731118,0.000185219402731118
ship,0.00018435570602655,0.00018435570602655
adjustables,0.000183962936516419,0.000183962936516419
nephew,0.000183877525417197,0.000183877525417197
die,0.000182979054110638,0.000182979054110638
excellence,0.000182506005711562,0.000182506005711562
galaxy,0.000182431700683094,0.000182431700683094
3rd,0.000181850054937612,0.000181850054937612
simplicity,0.000181315968003244,0.000181315968003244
m100s,0.000180758888144348,0.000180758888144348
laptop,0.000180734166824575,0.000180734166824575
radio,0.000180067503045644,0.000180067503045644
rest,0.00018005747835943,0.00018005747835943
speak,0.000179825054713602,0.000179825054713602
conversation,0.000179525325791798,0.000179525325791798
express,0.000178986754198348,0.000178986754198348
recently,0.000178575452363206,0.000178575452363206
shell,0.000178381027543373,0.000178381027543373
jog,0.000177915774415223,0.000177915774415223
sensibly,0.000177823985920396,0.000177823985920396
enlightenment,0.00017743908902906,0.00017743908902906
drawback,0.000177376936550356,0.000177376936550356
haed,0.000177326320001926,0.000177326320001926
contral,0.000177270260937518,0.000177270260937518
theyare,0.000175454597675257,0.000175454597675257
desapointed,0.000174374869525554,0.000174374869525554
whats,0.000173911438282884,0.000173911438282884
lt,0.000173730729737101,0.000173730729737101
sturdy,0.000173477593061592,0.000173477593061592
putting,0.000172999076261665,0.000172999076261665
gaming,0.000172997520898601,0.000172997520898601
late,0.000172063000746858,0.000172063000746858
foot,0.000171664450132466,0.000171664450132466
stereo,0.000170769685918352,0.000170769685918352
affordable,0.000170190711037776,0.000170190711037776
interfere,0.000170076170368127,0.000170076170368127
ass,0.000169957033774727,0.000169957033774727
mediocre,0.000169956240047955,0.000169956240047955
12,0.00016972314205623,0.00016972314205623
rugged,0.000169640276716718,0.000169640276716718
luck,0.00016932215729062,0.00016932215729062
function,0.000168846885173019,0.000168846885173019
act,0.000168512964299085,0.000168512964299085
idk,0.000167738178851011,0.000167738178851011
fold,0.00016755875320848,0.00016755875320848
skeptical,0.000166815604407308,0.000166815604407308
seal,0.00016576648364211,0.00016576648364211
fire,0.000165316272773814,0.000165316272773814
im,0.000164137461972076,0.000164137461972076
ill,0.000163759278444614,0.000163759278444614
leak,0.000163375395721082,0.000163375395721082
gripe,0.000163292516840464,0.000163292516840464
steal,0.000163065814334441,0.000163065814334441
plane,0.000162541034877475,0.000162541034877475
loop,0.00016155425513699,0.00016155425513699
hinge,0.000161355966795831,0.000161355966795831
muffle,0.000161183113128973,0.000161183113128973
type,0.000160954088575809,0.000160954088575809
comfy,0.000160626587715357,0.000160626587715357
